,Sign,Mean Rating,Median Rating,Median RT,Mean Log (RT)
274,Awkward,4.24,4,"2,940",8.06
275,89,4.22,4,"3,507",8.21
276,Earn,4.22,4,"2,497",7.96
277,Tournament,4.22,4,"2,806",7.94
278,Math,4.22,4,"2,633",7.95
279,Shy,4.22,4,"2,712",7.95
280,Punish,4.2,4,"2,346",7.89
281,Fruit,4.2,4,"2,686",8.01
282,Fault,4.2,5,"2,860",8.07
283,Measure,4.2,4,"2,677",7.93
284,Divorce,4.19,4,"2,794",7.97
285,Vote,4.19,4,"2,887",7.98
286,Class,4.19,4,"2,709",7.97
287,About,4.17,4,"2,836",7.99
288,Baseball,4.17,4,"2,640",7.97
289,Embarrass,4.17,4,"2,732",7.96
290,Government,4.15,4,"2,716",7.96
291,Cruel,4.14,4,"2,612",7.93
292,Train,4.14,4,"2,713",8.01
293,Slow,4.14,4,"2,934",8.03
294,Strict,4.14,4,"2,833",8.01
295,Accomplish,4.14,4,"2,648",7.93
296,Blood,4.12,4,"3,052",8.06
297,Scissors,4.12,4,"2,572",7.91
298,Peace,4.12,4,"2,953",8.05
299,Ball,4.1,4,"2,854",8.04
300,Ice Cream,4.1,4,"2,925",8.0
301,Ugly,4.1,4,"2,752",7.96
302,Real,4.08,4,"2,783",8.05
303,Europe,4.08,4,"2,806",7.97
304,Nothing,4.05,4,"2,863",8.03
305,Cabinet,4.05,4,"2,910",8.02
306,Certificate,4.05,4,"2,481",7.92
307,Waste,4.05,4,"2,721",8.02
308,History,4.03,4,"2,802",8.01
309,Secretary,4.02,4,"3,106",8.07
310,Doubt,4.02,4,"2,747",7.99
311,Cousin,4.02,4,"2,733",7.97
312,England,4.02,4,"3,116",8.11
313,Star,4.02,4,"3,015",8.02
314,Protect,4.02,4,"2,815",8.01
315,Mock,4.0,4,"2,754",8.0
316,Hat,4.0,4,"2,849",8.03
317,Religion,4.0,4,"2,653",7.97
318,Quiet,3.98,4,"2,917",7.99
319,Pie,3.98,4,"2,831",8.02
320,Balance,3.97,4,"2,681",8.01
321,Spaghetti,3.97,4,"2,879",8.07
322,Cough,3.97,4,"2,993",8.06
323,Moon,3.93,4,"3,030",8.01
324,Skate,3.92,4,"2,871",8.05
325,Lightweight,3.92,4,"2,957",8.02
326,Oral,3.9,4,"2,754",8.0
327,Cow,3.9,4,"2,700",8.0
328,Catholic,3.88,4,"2,765",7.94
329,Pill,3.88,4,"2,831",8.03
330,Farm,3.86,4,"2,751",7.97
331,Orange,3.85,4,"2,882",7.99
332,Voice,3.83,4,"2,830",8.04
333,Church,3.83,4,"2,791",7.99
334,Horse,3.81,3,"2,422",7.86
335,Salt,3.81,4,"2,965",8.05
336,King,3.8,3,"2,674",7.96
337,Basketball,3.78,4,"2,587",7.92
338,Smoke (to),3.78,4,"2,842",8.08
339,Yourself,3.78,4,"2,981",8.05
340,Football,3.78,4,"2,723",7.97
341,Subtract,3.78,4,"2,651",7.95
342,Tall,3.75,4,"2,550",7.88
343,Wet,3.73,4,"2,819",8.02
344,Swallow,3.73,4,"2,983",8.07
345,Sew,3.71,4,"2,631",7.92
346,Mirror,3.71,3,"2,905",8.04
347,Purple,3.69,4,"2,616",7.89
348,Butterfly,3.69,4,"2,730",7.92
349,Research,3.69,4,"2,886",8.01
350,Bridge,3.68,4,"2,691",7.93
351,Traffic,3.68,4,"2,801",8.02
352,Candy,3.68,4,"2,765",8.0
353,Island,3.66,4,"2,664",7.96
354,Pray,3.66,3,"2,804",8.01
355,Blind,3.64,4,"2,722",8.04
356,Engagement,3.64,4,"2,815",8.02
357,Insect,3.64,4,"2,752",7.98
358,New York,3.64,4,"2,660",8.0
359,Army,3.64,4,"2,704",7.94
360,Clergy,3.64,4,"2,805",8.05
361,Lipstick,3.63,4,"2,815",8.02
362,Silly,3.63,4,"2,724",7.96
363,Fall (down),3.61,3,"2,687",8.01
364,Jewish,3.59,3,"2,734",7.96
365,Sunset,3.58,3,"2,675",7.96
366,Russia,3.58,3,"2,568",7.97
367,Boss,3.58,3,"2,695",8.0
368,Lie,3.56,4,"2,603",7.96
369,Pile,3.54,4,"2,924",8.05
370,Hearing-aid,3.53,3,"2,716",7.99
371,Grass,3.49,4,"2,795",7.97
372,Puzzled,3.49,3,"2,861",8.0
373,Beard,3.47,3,"2,810",8.05
374,Umbrella,3.46,3,"2,765",7.97
375,Furniture,3.44,3,"3,355",8.09
376,Comb,3.42,3,"2,969",8.04
377,Front,3.39,3,"2,569",7.98
378,Nurse,3.39,3,"2,900",8.02
379,Socks,3.39,3,"3,461",8.22
380,Delicious,3.37,3,"2,593",7.94
381,Stomach,3.37,3,"2,812",8.02
382,Monkey,3.36,3,"2,703",8.03
383,Rabbit,3.34,3,"2,525",7.96
384,Drawer,3.32,3,"3,374",8.13
385,Kneel,3.32,3,"2,805",8.03
386,Hammer,3.32,3,"2,891",8.11
387,Nephew,3.31,3,"2,894",8.03
388,Indian,3.29,3,"3,101",8.09
389,Eye,3.29,3,"3,037",8.1
390,Earring,3.29,3,"2,964",8.05
391,Tear,3.27,3,"2,880",8.08
392,Polite,3.27,3,"3,018",8.05
393,Bake,3.25,3,"2,684",8.0
394,Stamp,3.25,3,"2,724",8.01
395,Sheep,3.24,3,"2,724",7.95
396,Pig,3.24,3,"2,586",7.89
397,Wristwatch,3.22,3,"3,128",8.03
398,Mouth,3.2,3,"3,074",8.03
399,Thief,3.2,3,"2,497",7.92
400,Cute,3.19,3,"2,890",7.99
401,Cigarette,3.17,3,"2,842",7.97
402,Parade,3.17,3,"2,675",7.96
403,Hunt,3.15,3,"3,563",8.18
404,Throw,3.1,3,"2,965",8.07
405,Turtle,3.08,3,"2,819",7.99
406,Israel,3.08,3,"2,961",8.02
407,Mustache,3.07,3,"2,752",7.97
408,Pipe,3.03,3,"3,128",8.06
409,Clown,3.03,3,"2,803",7.99
410,Snob,2.98,2,"2,743",7.95
411,Cracker,2.97,3,"2,834",8.0
412,Fish,2.97,3,"2,583",7.91
413,Freckles,2.93,3,"2,823",7.99
414,Weather,2.93,2,"2,975",8.05
415,Hairdryer,2.92,3,"2,883",8.08
416,Few,2.9,3,"2,738",8.02
417,Lonely,2.88,3,"2,850",8.04
418,Knob,2.8,3,"3,120",8.03
419,Captain,2.76,3,"2,805",8.05
420,Fat,2.73,2,"2,884",8.1
421,Talk/Dialogue,2.69,2,"2,973",8.05
422,Shorts,2.54,2,"2,903",8.08
423,Ring,2.51,2,"2,919",8.06
424,Lose-game,2.47,2,"3,090",8.1
425,Egypt,2.46,2,"2,617",7.97
426,Greece,2.42,2,"2,959",8.04
427,Radio,2.34,2,"2,768",8.04
428,Mumps,2.22,2,"2,775",7.98
429,Poison/Bone,2.22,2,"2,610",8.0
430,Wear,2.1,1,"2,686",7.99
431,Speak/Talk,1.97,1,"2,644",7.97
